vessel_type,dwt,engine_power_kw,speed_knots,distance_nm,cargo_load_pct,weather_beaufort,draft_meters,fuel_type,fuel_consumption_tons,co2_emissions_tons,sox_emissions_tons,nox_emissions_tons,operational_cost_usd
Tanker,143000.58,17508.01,16.02,3509.31,46.72,2,12.52,HFO,445.28,1385.47,35.8,89.5,152151.53
Tanker,92158.27,18889.53,14.95,3493.51,31.82,3,11.3,HFO,360.77,1122.53,29.01,72.51,123275.1
Bulk Carrier,63130.47,18748.93,11.5,6798.95,30.47,3,11.66,Ammonia,919.59,0.0,0.0,17.1,427607.4
Bulk Carrier,69241.44,19443.97,12.34,1536.16,98.87,4,14.74,Methanol,512.88,688.93,0.0,8.17,153095.31
Tanker,171923.29,31869.01,12.78,4869.61,70.54,4,14.05,Hydrogen,1876.06,0.0,0.0,0.0,7879446.28
Container,125000.2,36131.6,22.33,6689.25,85.84,4,14.95,VLSFO,2086.07,6209.4,42.76,384.88,1026346.67
Container,72790.7,29799.52,23.78,4817.43,31.55,4,12.03,VLSFO,574.59,1710.32,11.78,106.01,282697.1
Tanker,166444.93,30296.32,15.46,10526.37,31.81,3,11.61,VLSFO,1799.06,5355.07,36.88,331.93,885135.49
Container,66718.7,29970.97,19.0,1446.08,65.2,3,13.32,VLSFO,351.81,1047.21,7.21,64.91,173092.45
Tanker,80443.11,23906.88,14.91,5045.85,94.62,5,15.25,LNG,1568.75,4277.13,0.0,76.24,800532.59
Tanker,153224.19,32346.5,13.4,5188.61,71.6,3,13.23,HFO,1897.01,5902.49,152.52,381.3,648206.66
Bulk Carrier,58107.12,16557.71,15.32,1425.99,30.65,6,11.95,VLSFO,163.73,487.36,3.36,30.21,80555.82
Tanker,106604.64,21350.74,15.4,1541.37,72.04,4,13.7,Methanol,411.31,552.49,0.0,6.55,122776.45
Container,111559.45,22716.33,21.06,3537.7,38.85,4,12.36,HFO,407.07,1266.6,32.73,81.82,139096.43
Tanker,83620.73,27394.51,14.36,7033.75,73.56,2,14.34,LNG,1826.61,4980.17,0.0,88.77,932117.14
Container,75517.51,34890.6,19.94,4776.48,48.78,5,12.34,Ammonia,1075.53,0.0,0.0,20.0,500121.88
Tanker,185712.84,23865.48,12.56,7292.79,56.79,4,12.55,HFO,1904.75,5926.58,153.14,382.85,650852.09
Bulk Carrier,68602.33,24977.42,15.23,1441.64,54.8,5,12.64,Hydrogen,332.57,0.0,0.0,0.0,1396810.95
Bulk Carrier,31589.19,8336.65,11.66,4767.9,50.87,3,12.69,Ammonia,381.74,0.0,0.0,7.1,177506.89
Tanker,133445.72,25311.09,13.75,6755.34,82.7,3,14.45,VLSFO,2174.13,6471.51,44.57,401.13,1069671.44
Container,63063.55,20365.77,23.45,5089.5,85.96,2,13.92,Hydrogen,719.09,0.0,0.0,0.0,3020192.52
Tanker,136955.2,38208.76,12.02,7084.7,64.46,3,13.59,Ammonia,3185.91,0.0,0.0,59.26,1481446.3
Container,62169.83,58901.25,17.19,3577.85,42.87,5,11.55,HFO,1422.67,4426.62,114.38,285.96,486127.27
Bulk Carrier,42378.92,10719.19,14.63,1566.67,99.79,4,14.24,HFO,241.37,751.02,19.41,48.52,82476.65
Bulk Carrier,92264.98,15795.97,12.74,1431.78,54.71,7,12.33,Ammonia,283.61,0.0,0.0,5.28,131877.25
Container,63086.18,24461.12,18.42,10973.95,47.9,5,12.37,Ammonia,1963.05,0.0,0.0,36.51,912820.23
Tanker,104743.78,36311.72,16.45,3399.78,67.23,4,13.15,VLSFO,1182.19,3518.9,24.23,218.11,581637.13
Container,83810.44,29932.21,19.61,7323.45,99.16,2,15.12,HFO,2120.87,6599.04,170.52,426.29,724700.93
Bulk Carrier,74343.38,18622.48,13.5,10997.05,90.04,5,14.43,Hydrogen,2778.54,0.0,0.0,0.0,11669862.78
Container,89991.39,22380.52,20.29,11017.74,82.16,3,13.52,VLSFO,2091.14,6224.48,42.87,385.81,1028839.24
Bulk Carrier,90403.14,9289.5,13.87,11134.11,89.15,5,14.69,VLSFO,1549.82,4613.21,31.77,285.94,762513.67
Container,115064.66,49151.88,23.86,6734.83,57.48,3,12.69,Ammonia,1943.97,0.0,0.0,36.16,903944.52
Tanker,167992.96,36365.76,16.82,6905.51,94.58,5,15.19,HFO,3223.35,10029.39,259.16,647.89,1101419.33
Container,98835.6,21301.28,19.65,3465.91,40.21,2,11.83,VLSFO,369.6,1100.14,7.58,68.19,181842.08
Bulk Carrier,44040.19,9194.87,12.49,6924.73,89.05,1,14.21,Ammonia,760.29,0.0,0.0,14.14,353536.33
Tanker,115274.44,22461.77,14.28,3609.21,79.07,3,14.05,Ammonia,844.9,0.0,0.0,15.72,392878.82
Container,131701.79,21227.12,19.67,1544.16,74.31,2,13.53,Methanol,279.14,374.96,0.0,4.44,83324.43
Tanker,193436.3,24415.0,14.24,3350.21,55.5,8,12.64,VLSFO,1021.85,3041.63,20.95,188.53,502748.82
Bulk Carrier,97045.58,20693.97,13.25,11073.33,89.11,4,14.66,Methanol,3615.36,4856.33,0.0,57.56,1079184.01
Container,77053.76,39558.75,21.67,3403.53,58.54,6,12.5,Methanol,1092.98,1468.14,0.0,17.4,326254.03
Tanker,177379.74,19049.53,15.59,3654.6,86.07,4,13.99,VLSFO,848.4,2525.36,17.39,156.53,417415.25
Bulk Carrier,74636.52,15162.86,15.86,10865.17,91.54,3,14.27,Ammonia,1758.4,0.0,0.0,32.71,817657.22
Tanker,164350.27,27079.85,13.21,1483.56,85.82,3,14.83,HFO,539.08,1677.33,43.34,108.35,184202.63
Bulk Carrier,35122.72,17288.02,12.59,10804.7,33.42,4,11.75,VLSFO,1383.78,4118.97,28.37,255.31,680821.83
Bulk Carrier,31091.45,11648.19,13.47,1488.27,71.48,4,13.41,Hydrogen,198.78,0.0,0.0,0.0,834862.93
Bulk Carrier,97859.67,14203.14,12.24,1456.0,84.17,4,14.04,HFO,293.86,914.33,23.63,59.07,100410.52
Container,58726.07,34942.68,19.7,6911.93,86.67,4,14.34,LNG,2131.54,5811.55,0.0,103.59,1087723.28
Bulk Carrier,51921.73,12461.22,13.29,5246.16,73.75,1,13.2,Methanol,798.85,1073.05,0.0,12.72,238455.85
Container,141300.08,51729.56,20.43,6900.2,81.7,6,13.77,VLSFO,3559.11,10594.06,72.96,656.66,1751084.3
Bulk Carrier,81953.23,19038.1,14.23,4763.14,88.22,2,13.89,VLSFO,1178.75,3508.66,24.16,217.48,579943.92
Bulk Carrier,96185.36,20880.84,13.26,4929.06,74.08,4,13.65,Methanol,1517.97,2039.01,0.0,24.17,453113.14
Tanker,114098.04,21417.48,16.8,6965.65,35.46,1,11.34,Ammonia,720.05,0.0,0.0,13.39,334824.43
Container,137900.38,39667.96,16.09,3624.61,87.89,5,13.71,HFO,1764.9,5491.46,141.9,354.75,603067.79
Bulk Carrier,69179.27,21412.11,14.86,10702.37,44.14,4,12.43,Methanol,2146.95,2883.89,0.0,34.18,640865.35
Container,116274.57,38870.52,16.49,1471.02,72.16,4,13.12,Hydrogen,537.02,0.0,0.0,0.0,2255467.86
Tanker,161393.35,17878.49,16.78,4863.23,56.56,4,12.55,Hydrogen,696.99,0.0,0.0,0.0,2927350.47
Bulk Carrier,69471.81,21265.58,12.45,5071.62,35.76,4,11.58,Methanol,990.52,1330.51,0.0,15.77,295668.97
Bulk Carrier,55907.09,17146.95,15.18,10645.7,60.33,2,12.41,HFO,1651.6,5138.93,132.79,331.97,564352.88
Tanker,154883.93,33487.84,13.55,3330.66,51.93,4,12.28,VLSFO,1114.98,3318.84,22.86,205.71,548568.34
Bulk Carrier,67831.51,15475.06,12.45,5063.97,32.35,4,11.12,Methanol,708.85,952.17,0.0,11.28,211592.52
Bulk Carrier,32771.12,13771.07,13.19,1456.32,97.59,1,14.55,Hydrogen,244.99,0.0,0.0,0.0,1028946.37
Bulk Carrier,44107.71,13603.97,12.32,3526.39,34.37,4,11.87,LNG,328.1,894.55,0.0,15.95,167428.74
Bulk Carrier,77419.05,9880.07,12.78,10827.95,61.99,4,13.65,LNG,1143.03,3116.41,0.0,55.55,583286.04
Tanker,125626.05,42720.89,13.7,7083.49,72.49,6,13.57,VLSFO,4201.21,12505.32,86.12,775.12,2066994.81
Bulk Carrier,69672.37,8689.92,13.5,6922.99,87.74,4,14.38,Hydrogen,752.39,0.0,0.0,0.0,3160030.8
Tanker,130182.87,29064.51,16.67,10639.86,38.97,4,12.01,Ammonia,1947.53,0.0,0.0,36.22,905600.52
Container,74349.51,49462.11,18.33,7276.1,62.16,3,13.2,HFO,2741.16,8529.07,220.39,550.97,936655.17
Container,54403.81,45900.31,22.56,4993.0,31.86,4,11.99,LNG,854.3,2329.21,0.0,41.52,435948.67
Container,135727.37,34799.68,18.03,1572.95,44.44,5,12.0,Ammonia,335.99,0.0,0.0,6.25,156235.09
Bulk Carrier,53305.61,20164.59,15.48,10467.59,47.68,2,12.27,Hydrogen,1584.36,0.0,0.0,0.0,6654320.47
Tanker,196044.1,15672.2,15.39,3484.58,90.15,4,14.48,VLSFO,693.24,2063.51,14.21,127.9,341075.32
Tanker,154241.76,26963.55,14.33,10735.61,58.38,5,13.15,VLSFO,2979.15,8867.74,61.07,549.65,1465742.87
Container,140817.66,30627.13,21.69,10857.36,69.58,3,13.44,Hydrogen,2221.84,0.0,0.0,0.0,9331714.46
Bulk Carrier,52671.51,14689.22,14.1,5076.03,50.01,4,12.54,LNG,639.7,1744.1,0.0,31.09,326436.72
Tanker,123303.14,40942.55,15.84,7010.41,77.96,4,13.81,Ammonia,3294.53,0.0,0.0,61.28,1531954.7
Tanker,143725.17,24274.21,12.38,1550.96,36.35,3,11.32,VLSFO,302.45,900.27,6.2,55.8,148805.22
Tanker,100033.49,22391.17,15.27,5091.45,75.85,4,14.35,Hydrogen,1213.83,0.0,0.0,0.0,5098078.23
Container,102596.33,50081.86,16.61,1557.82,50.16,2,12.58,Ammonia,516.53,0.0,0.0,9.61,240185.13
Container,80656.22,24947.73,18.3,11031.68,82.64,3,14.3,Hydrogen,2380.39,0.0,0.0,0.0,9997636.94
Container,121338.07,37133.28,19.71,1496.42,88.98,4,13.98,VLSFO,563.51,1677.36,11.55,103.97,277248.79
Container,130624.4,26653.37,16.59,3460.62,67.73,2,13.53,Hydrogen,722.96,0.0,0.0,0.0,3036414.31
Bulk Carrier,71701.92,18996.97,15.74,7102.2,75.66,4,13.97,Methanol,1653.24,2220.71,0.0,26.32,493490.68
Bulk Carrier,95489.31,21803.14,13.49,3553.72,72.17,5,13.37,VLSFO,999.98,2976.55,20.5,184.5,491991.59
Bulk Carrier,52032.32,10499.94,11.25,3503.33,60.34,1,13.01,LNG,367.18,1001.1,0.0,17.84,187372.47
Tanker,195199.49,26814.0,12.75,5110.48,41.02,3,11.68,HFO,1071.06,3332.59,86.11,215.28,365982.08
Tanker,195033.6,43962.96,12.08,3576.6,71.22,4,12.95,VLSFO,2039.79,6071.65,41.82,376.34,1003577.93
Bulk Carrier,42930.04,10158.45,15.71,1473.56,67.32,1,13.31,Hydrogen,119.14,0.0,0.0,0.0,500399.19
Bulk Carrier,35437.17,12996.83,14.89,1555.9,48.4,5,12.08,Hydrogen,167.72,0.0,0.0,0.0,704429.94
Container,93413.24,42414.42,23.56,3393.54,92.09,7,14.61,LNG,1258.89,3432.32,0.0,61.18,642413.49
Bulk Carrier,41702.6,14489.62,14.69,5210.5,48.78,4,11.83,Ammonia,634.14,0.0,0.0,11.8,294875.79
Tanker,139576.88,31364.08,15.4,7165.73,73.01,2,13.62,Ammonia,2139.06,0.0,0.0,39.79,994664.59
Container,76581.87,53816.01,15.87,3645.88,89.61,4,14.19,VLSFO,2325.62,6922.43,47.68,429.08,1144203.39
Bulk Carrier,49520.81,16460.96,12.39,6930.01,66.29,3,13.39,Ammonia,1227.46,0.0,0.0,22.83,570769.11
Bulk Carrier,91458.69,18724.46,15.86,3377.38,88.03,4,14.29,HFO,825.85,2569.63,66.4,166.0,282194.06
Container,109455.95,46353.56,21.97,4824.79,98.32,6,14.88,Ammonia,2180.66,0.0,0.0,40.56,1014008.71
Bulk Carrier,86654.28,22045.61,12.23,1425.67,48.52,5,12.79,Hydrogen,323.62,0.0,0.0,0.0,1359208.94
Tanker,119415.92,16686.89,13.77,6794.01,35.55,5,11.2,Hydrogen,778.51,0.0,0.0,0.0,3269758.35
Bulk Carrier,56638.81,23472.26,11.31,6788.16,56.85,6,13.26,LNG,1890.37,5154.01,0.0,91.87,964653.5
Tanker,146992.54,41344.15,13.08,6722.28,43.1,5,12.58,LNG,2211.92,6030.71,0.0,107.5,1128741.66
Container,70126.64,24281.66,19.86,3566.36,49.63,4,12.1,Hydrogen,519.62,0.0,0.0,0.0,2182404.45
Bulk Carrier,96233.61,21096.07,11.7,5005.66,84.99,4,14.04,Methanol,1920.95,2580.32,0.0,30.58,573403.71
Tanker,97250.68,36120.28,13.09,4968.7,98.61,1,14.6,LNG,2095.6,5713.57,0.0,101.85,1069385.64
Tanker,176752.97,26222.22,16.8,11539.27,91.66,4,14.09,Methanol,3596.39,4830.85,0.0,57.25,1073522.25
Container,91502.93,38965.21,14.04,11403.07,97.2,4,14.86,Ammonia,5619.1,0.0,0.0,104.52,2612879.8
Tanker,82035.32,21209.08,16.42,4804.84,50.65,3,11.97,Hydrogen,701.0,0.0,0.0,0.0,2944210.92
Container,102390.69,39411.9,18.41,4760.69,55.34,4,13.07,LNG,1276.12,3479.29,0.0,62.02,651204.54
Container,82471.35,39104.03,22.25,7254.36,94.93,1,15.39,Hydrogen,2052.54,0.0,0.0,0.0,8620662.18
Container,65480.02,43003.86,23.46,5212.59,99.57,5,15.41,Ammonia,1876.59,0.0,0.0,34.9,872614.95
Bulk Carrier,72078.2,20123.9,12.47,1483.59,82.52,4,13.61,Methanol,507.09,681.15,0.0,8.07,151367.7
Container,127140.9,41759.99,20.8,10940.15,72.77,5,13.33,VLSFO,3663.64,10905.18,75.1,675.94,1802508.77
Tanker,108983.98,43427.76,14.25,5104.33,93.07,4,14.19,Methanol,3489.16,4686.82,0.0,55.55,1041515.48
Container,92078.64,31332.64,22.63,6725.97,68.29,3,13.83,Hydrogen,1299.8,0.0,0.0,0.0,5459160.44
Container,91866.07,32777.58,14.54,11306.11,97.36,2,14.68,LNG,4125.98,11249.33,0.0,200.52,2105489.43
Tanker,196578.25,28044.87,13.11,3330.36,34.51,2,11.74,VLSFO,624.47,1858.81,12.8,115.22,307240.58
Tanker,144226.61,22294.56,12.01,1467.61,81.17,4,13.62,LNG,426.25,1162.14,0.0,20.72,217513.66
Bulk Carrier,30117.76,9289.73,13.23,6786.68,41.19,2,12.01,Hydrogen,436.84,0.0,0.0,0.0,1834743.97
Container,97939.33,20508.0,19.59,11462.44,86.28,5,13.95,LNG,2120.46,5781.36,0.0,103.05,1082072.67
Bulk Carrier,95857.17,17564.3,14.19,1571.47,44.65,2,12.28,VLSFO,206.55,614.81,4.23,38.11,101622.02
Container,75002.26,28496.98,15.73,11531.5,34.62,6,12.22,Hydrogen,2230.54,0.0,0.0,0.0,9368284.34
Bulk Carrier,97760.79,14396.55,15.99,10715.83,39.1,2,12.03,Methanol,1022.65,1373.68,0.0,16.28,305261.33
Container,114332.13,37001.32,17.37,6761.22,97.01,5,14.58,Hydrogen,3035.93,0.0,0.0,0.0,12750922.15
Tanker,129198.98,25879.92,12.96,5099.47,89.06,6,14.01,Methanol,2530.52,3399.13,0.0,40.29,755361.46
Container,102862.32,34271.57,19.97,1458.43,44.31,2,12.78,Methanol,282.78,379.84,0.0,4.5,84408.69
Container,145409.48,39170.73,19.05,7030.97,43.88,3,12.29,Methanol,1804.13,2423.4,0.0,28.72,538533.13
Container,98959.97,36080.61,20.91,1570.95,80.71,4,14.52,Hydrogen,485.4,0.0,0.0,0.0,2038694.25
Container,81968.02,30055.98,22.52,11026.64,57.07,3,13.07,HFO,2047.76,6371.56,164.64,411.6,699718.59
Container,123732.48,35008.92,22.62,11170.3,68.78,2,13.01,Hydrogen,2265.64,0.0,0.0,0.0,9515687.51
Tanker,117081.53,38971.17,12.32,7315.14,68.15,3,13.1,Methanol,4045.97,5434.75,0.0,64.41,1207722.47
Tanker,92311.26,17770.01,12.8,3448.76,73.21,3,14.22,Methanol,858.95,1153.78,0.0,13.67,256395.55
Tanker,178422.5,42668.65,13.23,3584.85,73.07,4,13.01,Hydrogen,1928.95,0.0,0.0,0.0,8101602.8
Tanker,191559.34,30341.44,13.04,4827.12,51.27,3,12.29,Hydrogen,1287.89,0.0,0.0,0.0,5409118.6
Tanker,184575.73,29100.47,12.22,4879.61,50.08,5,12.02,LNG,1388.61,3785.99,0.0,67.49,708607.71
Bulk Carrier,83285.43,14224.65,13.18,5099.07,64.01,2,12.88,LNG,716.96,1954.77,0.0,34.84,365866.6
Container,109867.06,28517.08,14.07,4836.92,84.88,3,14.75,LNG,1522.16,4150.11,0.0,73.98,776758.06
Tanker,149270.63,41112.93,16.5,4878.73,39.78,4,11.56,VLSFO,1395.07,4152.56,28.6,257.39,686373.45
Bulk Carrier,43792.67,16984.94,14.22,6864.43,65.15,5,13.48,HFO,1222.29,3803.13,98.27,245.68,417656.8
Tanker,171572.33,24825.07,16.97,1432.43,49.09,3,12.87,Ammonia,234.07,0.0,0.0,4.35,108843.38
Bulk Carrier,75448.54,23134.05,13.74,10953.12,65.2,3,13.42,Ammonia,2383.51,0.0,0.0,44.33,1108332.02
Container,76263.66,45407.05,15.5,1492.61,34.67,5,11.3,HFO,466.82,1452.5,37.53,93.83,159511.93
Bulk Carrier,80696.01,18305.79,14.56,1517.83,71.45,4,13.85,Hydrogen,320.19,0.0,0.0,0.0,1344806.26
Tanker,197627.27,30491.97,13.13,6929.87,54.83,4,12.96,Ammonia,2110.04,0.0,0.0,39.25,981166.78
Tanker,160982.98,18719.62,15.13,1483.73,36.2,5,12.34,Methanol,221.08,296.97,0.0,3.52,65993.38
Tanker,195685.88,44617.83,14.6,4979.61,81.28,3,13.68,LNG,2386.02,6505.38,0.0,115.96,1217584.84
Container,112465.83,44259.31,23.71,5240.23,64.0,5,13.41,Ammonia,1480.04,0.0,0.0,27.53,688218.27
Bulk Carrier,37533.72,8012.2,11.04,3585.17,69.06,1,13.45,LNG,337.48,920.14,0.0,16.4,172218.03
Bulk Carrier,83314.86,14905.45,14.18,3437.46,71.12,4,13.01,Methanol,673.33,904.46,0.0,10.72,200990.28
Bulk Carrier,85887.77,20234.68,15.65,3531.89,42.86,4,11.75,LNG,452.01,1232.4,0.0,21.97,230662.91
Tanker,188488.22,25406.24,13.6,11138.35,70.27,5,13.48,Ammonia,3392.02,0.0,0.0,63.09,1577290.1
Container,121925.58,42214.89,14.95,3400.0,47.98,5,12.16,Ammonia,1305.84,0.0,0.0,24.29,607215.73
Bulk Carrier,41282.83,24858.71,14.25,11340.55,39.01,3,11.81,HFO,2121.61,6601.36,170.58,426.44,724955.7
Tanker,156077.22,17769.28,13.93,3396.22,73.9,3,13.3,LNG,586.63,1599.43,0.0,28.51,299359.29
Tanker,96379.44,31307.15,16.4,6696.67,78.07,3,13.81,LNG,1880.49,5127.07,0.0,91.39,959612.7
Container,140062.61,39330.12,23.44,3556.04,61.77,4,13.4,Hydrogen,882.67,0.0,0.0,0.0,3707201.07
Container,83935.26,47966.15,15.89,3451.51,35.15,5,11.58,VLSFO,1069.12,3182.35,21.92,197.25,526007.76
Container,116954.81,54299.57,19.08,4777.46,54.81,8,12.25,LNG,1992.17,5431.56,0.0,96.82,1016602.24
Tanker,168780.01,26122.25,15.05,10836.54,56.2,4,12.19,LNG,2289.38,6241.92,0.0,111.26,1168273.06
Tanker,91965.27,27735.7,12.05,4893.16,68.86,3,13.44,VLSFO,1689.98,5030.41,34.64,311.8,831472.54
Tanker,122738.7,39548.3,14.41,1438.38,39.6,7,12.45,Hydrogen,514.71,0.0,0.0,0.0,2161797.97
Container,106530.64,24908.71,15.18,5048.1,36.05,4,11.36,LNG,755.44,2059.68,0.0,36.71,385500.86
Container,133792.44,40085.99,16.34,6842.62,49.69,5,12.92,HFO,2376.36,7394.01,191.06,477.65,812003.29
Bulk Carrier,43805.02,19612.08,13.71,7037.5,47.87,5,12.33,VLSFO,1375.04,4092.93,28.19,253.69,676517.54
Container,107462.28,23061.01,18.72,4881.32,38.16,4,11.54,Hydrogen,557.59,0.0,0.0,0.0,2341889.42
Bulk Carrier,92016.71,16141.07,11.14,11188.1,73.74,1,14.1,Methanol,2656.43,3568.25,0.0,42.29,792944.75
Container,61562.21,31217.21,16.78,1557.44,89.71,1,15.04,Methanol,518.56,696.56,0.0,8.26,154790.25
Bulk Carrier,86146.43,8146.97,15.8,1564.81,67.26,4,13.59,LNG,120.4,328.26,0.0,5.85,61439.45
Tanker,153920.65,38718.43,12.57,11115.58,67.26,5,13.38,Ammonia,5510.77,0.0,0.0,102.5,2562509.89
Container,87954.09,30254.65,19.44,4869.32,90.81,4,14.07,Ammonia,1392.2,0.0,0.0,25.89,647373.12
Container,74794.53,54974.26,18.74,11305.35,80.06,3,13.92,VLSFO,5429.5,16161.44,111.3,1001.74,2671313.01
Bulk Carrier,82098.81,8594.64,15.32,1527.63,46.36,3,12.91,Ammonia,89.15,0.0,0.0,1.66,41453.57
Tanker,143219.99,29203.52,13.83,5090.21,83.81,4,13.69,VLSFO,1991.2,5927.02,40.82,367.38,979672.43
Container,104821.08,52383.94,18.05,3522.75,50.67,8,12.42,Methanol,1919.61,2578.52,0.0,30.56,573003.48
Tanker,87676.21,23574.39,16.03,10741.84,66.06,3,12.88,LNG,2155.36,5876.51,0.0,104.75,1099881.1
Tanker,95192.64,20193.53,12.59,11300.28,61.16,3,13.65,HFO,2658.23,8271.02,213.72,534.3,908316.0
Tanker,118816.61,26606.63,13.45,5197.63,64.21,3,13.69,Hydrogen,1444.41,0.0,0.0,0.0,6066506.49
Tanker,90101.12,24985.31,16.78,7072.38,45.65,7,12.23,VLSFO,1484.31,4418.19,30.43,273.85,730279.05
Bulk Carrier,48534.9,11919.75,15.25,6928.98,42.0,5,11.86,Hydrogen,571.94,0.0,0.0,0.0,2402165.93
Bulk Carrier,87032.11,24197.64,12.31,4957.82,45.74,3,11.86,VLSFO,1116.39,3323.06,22.89,205.97,549265.65
Bulk Carrier,95616.92,19682.87,12.12,7098.34,44.18,5,12.4,HFO,1452.16,4518.37,116.75,291.88,496203.07
Container,57743.94,34836.83,22.8,7027.43,35.15,4,11.29,VLSFO,1148.02,3417.2,23.53,211.81,564825.92
Container,80073.48,42999.82,14.36,3528.17,32.99,3,11.59,VLSFO,915.58,2725.32,18.77,168.92,450465.97
Container,125353.15,28556.72,17.16,6812.21,68.26,6,13.1,Ammonia,1877.17,0.0,0.0,34.92,872882.86
Container,109817.2,35526.49,17.27,10821.13,59.97,4,13.15,Hydrogen,2950.49,0.0,0.0,0.0,12392076.2
Bulk Carrier,57881.74,23356.36,13.68,10812.95,78.67,3,14.48,VLSFO,3177.9,9459.34,65.15,586.32,1563527.02
Container,113784.39,34459.9,22.29,5019.25,87.95,5,14.74,LNG,1383.26,3771.41,0.0,67.23,705878.34
Bulk Carrier,78734.94,24229.28,13.7,6902.4,83.62,4,13.5,Methanol,2554.8,3431.73,0.0,40.67,762606.93
Bulk Carrier,75712.84,12173.63,15.65,5040.3,99.63,5,15.3,LNG,778.44,2122.4,0.0,37.83,397240.38
Tanker,147106.84,27122.24,15.89,10724.29,96.52,5,14.87,Methanol,4070.05,5467.1,0.0,64.8,1214911.23
Bulk Carrier,69804.8,12356.74,11.34,1569.98,74.11,5,13.1,VLSFO,320.74,954.72,6.58,59.18,157805.14
Bulk Carrier,40105.7,20842.95,14.77,3514.14,50.42,3,12.69,VLSFO,563.02,1675.88,11.54,103.88,277005.35
Bulk Carrier,53428.66,21525.86,13.2,1474.88,39.85,2,11.54,Ammonia,221.54,0.0,0.0,4.12,103017.14
Bulk Carrier,78423.71,8739.11,14.32,6818.26,85.73,8,14.04,Ammonia,992.91,0.0,0.0,18.47,461704.08
Bulk Carrier,94455.18,20134.69,14.94,7001.79,77.09,5,14.45,Hydrogen,1606.9,0.0,0.0,0.0,6748984.92
Container,120880.3,39416.52,14.68,6991.8,73.77,5,14.15,Hydrogen,3199.42,0.0,0.0,0.0,13437560.46
Tanker,153006.14,20817.71,12.45,3535.42,55.98,6,12.78,Ammonia,911.48,0.0,0.0,16.95,423838.73
Bulk Carrier,94112.2,24285.57,12.65,1548.68,74.35,5,14.23,Ammonia,510.93,0.0,0.0,9.5,237582.94
Bulk Carrier,72122.63,15070.6,12.28,11105.21,45.42,3,11.97,Methanol,1785.5,2398.37,0.0,28.43,532970.81
Container,126825.45,23308.13,17.67,1523.65,32.88,2,11.58,Ammonia,168.87,0.0,0.0,3.14,78522.41
Container,138866.89,44457.52,22.76,3599.92,69.28,8,13.63,Methanol,1569.65,2108.43,0.0,24.99,468540.35
Container,71560.77,21857.59,21.21,11309.5,73.94,2,14.31,LNG,1523.06,4152.56,0.0,74.02,777216.34
Container,93539.01,33546.78,15.85,3598.74,32.21,2,11.55,Methanol,759.23,1019.83,0.0,12.09,226629.8
Tanker,127202.02,22159.06,16.8,11168.68,60.1,4,12.59,LNG,1814.76,4947.86,0.0,88.2,926069.7
Bulk Carrier,45774.07,12601.9,11.55,6684.83,80.65,5,13.36,Ammonia,1310.98,0.0,0.0,24.38,609603.78
Bulk Carrier,67340.91,20798.36,13.61,3645.1,45.31,4,12.12,Hydrogen,658.22,0.0,0.0,0.0,2764527.58
Bulk Carrier,95189.81,23343.23,11.39,5022.2,85.9,3,13.79,HFO,1814.84,5646.83,145.91,364.78,620129.4
Bulk Carrier,56821.81,10589.3,12.37,1476.95,61.69,4,13.03,Ammonia,175.96,0.0,0.0,3.27,81820.59
Bulk Carrier,92532.73,13583.21,13.98,10826.52,92.72,1,14.99,LNG,1639.22,4469.25,0.0,79.67,836491.46
Bulk Carrier,71297.14,22526.58,13.91,6663.2,43.25,8,12.14,VLSFO,1675.38,4986.94,34.35,309.11,824286.99
Tanker,118890.82,15940.25,16.67,3351.65,66.97,4,13.84,HFO,517.4,1609.88,41.6,104.0,176795.65
Tanker,152311.24,33858.45,16.19,1515.35,57.25,7,13.23,Methanol,569.92,765.55,0.0,9.07,170122.18
Bulk Carrier,73741.96,21531.95,13.29,3524.06,80.12,4,14.02,Methanol,1208.01,1622.66,0.0,19.23,360591.23
Bulk Carrier,69849.37,12175.66,14.2,1567.66,46.4,4,12.81,LNG,135.09,368.32,0.0,6.57,68936.4
Container,148339.92,48402.58,14.99,3444.48,80.63,4,13.96,Hydrogen,1847.36,0.0,0.0,0.0,7758903.35
Bulk Carrier,61134.72,24726.22,15.02,6699.51,40.51,4,12.45,Hydrogen,1168.94,0.0,0.0,0.0,4909552.86
Bulk Carrier,39326.94,20901.86,15.35,5138.03,98.82,4,15.31,Methanol,1514.81,2034.77,0.0,24.12,452170.29
Container,117619.23,46192.57,15.34,1450.89,78.42,4,14.58,VLSFO,788.62,2347.42,16.17,145.5,388003.46
Container,119112.98,34130.9,14.5,1445.17,99.47,2,15.11,VLSFO,644.31,1917.84,13.21,118.87,316998.41
Bulk Carrier,64695.05,9945.94,14.98,11258.34,58.49,3,12.58,Ammonia,906.47,0.0,0.0,16.86,421508.9
Bulk Carrier,33217.91,21836.54,13.69,7000.09,82.42,3,13.49,Ammonia,1762.36,0.0,0.0,32.78,819498.49
Bulk Carrier,78339.02,21225.28,13.95,1442.33,53.83,3,12.89,Hydrogen,247.23,0.0,0.0,0.0,1038349.15
Bulk Carrier,87788.49,24860.83,13.6,3436.5,84.4,5,14.07,VLSFO,1249.16,3718.26,25.61,230.47,614587.67
Bulk Carrier,96191.7,24599.78,15.2,11215.27,30.21,6,11.77,LNG,1701.39,4638.78,0.0,82.69,868221.59
